id,visado,angulo_horizontal,angulo_vertical,dis_h,Dis_inc,alt_isn,baston
D1,PLACA,0,94.0225,45.65026651,45.763,1.529,1.672
D1,D2,40.22083333,81.33805556,96.56507426,97.674,1.529,1.672
D2,D1,0,98.45777778,,97.632,1.494,1.376
D2,D3,63.91805556,101.4027778,35.49461759,36.215,1.494,1.376
D3,D2,0,77.86638889,,36.3,1.5,1.7
D3,D4,88.64722222,99.99666667,35.05950061,35.6,1.5,1.7
D4,D3,0,80.00305556,,35.6,1.5,1.7
D4,D1,189.9361111,90.99833333,52.22006971,52.228,1.5,1.7
D1,D4,0,89.00138889,,52.228,1.5,1.7
D1,D2,17.5375,81.33805556,96.55994358,97.674,1.5,1.7
