latitud,longitud,comp_n,comp_e
32,-110,-0.0079,-0.009
32,-109,-0.0074,-0.0091
32,-108,-0.0092,-0.0109
32,-107,-0.0087,-0.011
32,-106,-0.0082,-0.0111
31,-110,-0.0079,-0.0084
31,-109,-0.0074,-0.0085
31,-108,-0.0084,-0.0093
31,-107,-0.0087,-0.0104
31,-106,-0.0082,-0.0105
31,-105,-0.0077,-0.0106
30,-110,-0.0079,-0.0078
30,-109,-0.0089,-0.0085
30,-108,-0.0088,-0.0088
30,-107,-0.0083,-0.0088
30,-106,-0.0074,-0.009
30,-105,-0.0077,-0.01
30,-104,-0.007,-0.0104
29,-110,-0.0077,-0.0076
29,-109,-0.0088,-0.0085
29,-108,-0.0088,-0.0082
29,-107,-0.0083,-0.0082
29,-106,-0.0073,-0.0087
29,-105,-0.0071,-0.01
29,-104,-0.0076,-0.0102
29,-103,-0.0071,-0.0103
29,-102,-0.0066,-0.0103
28,-110,-0.0077,-0.0071
28,-109,-0.0072,-0.0072
28,-108,-0.0067,-0.0073
28,-107,-0.0078,-0.008
28,-106,-0.008,-0.0092
28,-105,-0.0071,-0.0094
28,-104,-0.007,-0.0097
28,-103,-0.0071,-0.0097
28,-102,-0.0066,-0.0097
28,-101,-0.0061,-0.0098
27,-110,-0.0077,-0.0065
27,-109,-0.0072,-0.0066
27,-108,-0.0067,-0.0067
27,-107,-0.0066,-0.0084
27,-106,-0.0061,-0.0085
27,-105,-0.0056,-0.0086
27,-104,-0.0066,-0.009
27,-103,-0.0052,-0.0091
27,-102,-0.006,-0.0092
27,-101,-0.0057,-0.0097
27,-100,-0.0048,-0.0097
26,-110,-0.0077,-0.0059
26,-109,-0.0072,-0.006
26,-108,-0.0071,-0.0078
26,-107,-0.0066,-0.0078
26,-106,-0.0061,-0.0079
26,-105,-0.0056,-0.008
26,-104,-0.0054,-0.0083
26,-103,-0.0052,-0.0085
26,-102,-0.004,-0.0089
26,-101,-0.0041,-0.0089
26,-100,-0.0041,-0.0091
26,-99,-0.0036,-0.0091
25,-109,-0.0073,-0.0059
25,-108,-0.0071,-0.0072
25,-107,-0.0066,-0.0073
25,-106,-0.0061,-0.0073
25,-105,-0.0056,-0.0074
25,-104,-0.0055,-0.008
25,-103,-0.0045,-0.0083
25,-102,-0.004,-0.0083
25,-101,-0.0035,-0.0084
25,-100,-0.0041,-0.0085
25,-99,-0.0036,-0.0085
25,-98,-0.0031,-0.0086
25,-79,0.002,-0.0081
25,-78,0.0025,-0.0081
25,-77,0.0031,-0.0079
24,-108,-0.0071,-0.0066
24,-107,-0.0062,-0.0069
24,-106,-0.0055,-0.0072
24,-105,-0.0053,-0.0072
24,-104,-0.0046,-0.0074
24,-103,-0.0041,-0.0076
24,-102,-0.004,-0.0077
24,-101,-0.0034,-0.0079
24,-100,-0.0041,-0.0079
24,-99,-0.0036,-0.0079
24,-98,-0.0031,-0.008
